Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Designer (product.metafields.custom.designer),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Moss,Size,2' x 8' Rectangular runner,449.00,159.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg",1.0,RG862,Moss,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Moss,Size,4' x 6' Rectangular,749.00,239.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg",1.0,RG862,Moss,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Moss,Size,5' x 8' Rectangular,"1,249.00",439.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg",1.0,RG862,Moss,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Moss,Size,8' x 10' Rectangular,"2,549.00",879.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg",1.0,RG862,Moss,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Moss,Size,9' x 12' Rectangular,"3,449.00","1,199.20","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235156/ws_luna_mo_rg862214096120_silo.jpg",1.0,RG862,Moss,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Flint,Size,2' x 8' Rectangular runner,449.00,159.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_style1.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",1.0,RG862,Flint,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_back.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_pile.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_roll.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_closeup.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_angle.jpg",,,,,,,,,,,,,,,
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Flint,Size,4' x 6' Rectangular,749.00,239.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_angle.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",1.0,RG862,Flint,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Flint,Size,5' x 8' Rectangular,"1,249.00",439.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_angle.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",1.0,RG862,Flint,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Flint,Size,8' x 10' Rectangular,"2,549.00",879.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_angle.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",1.0,RG862,Flint,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Flint,Size,9' x 12' Rectangular,"3,449.00","1,199.20","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_angle.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235155/ws_luna_flint_rg8629945096120_silo.jpg",1.0,RG862,Flint,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Barley,Size,2' x 8' Rectangular runner,449.00,159.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg",1.0,RG862,Barley,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Barley,Size,4' x 6' Rectangular,749.00,239.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg",1.0,RG862,Barley,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Barley,Size,5' x 8' Rectangular,"1,249.00",439.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg",1.0,RG862,Barley,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Barley,Size,8' x 10' Rectangular,"2,549.00",879.20,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg",1.0,RG862,Barley,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
Luna - RG862 Area Rug,"<div class=""product-overview-data"">
<p><p>The stunning Luna RG862 area rug captures the eye – and the imagination – with bold geometric shapes inspired by the phases of the moon. This beautiful accent from Bobby Berk by Karastan is handmade with a wondrously plush pile that beckons tactile exploration in any setting.</p><ul><li>Celebrity designer Bobby Berk is known for his skill at transforming interior spaces, and now his hallmark decor style is more accessible than ever with this exciting Karastan collaboration.</li><li> This geometric area rug features an oversized pattern sure to turn heads despite its tasteful subtlety. Choose from a wide variety of colorways to suit almost any interior decor theme.</li><li> Luna is handwoven by skilled artisans from a unique mixture of natural wool, silky viscose, and resilient polyester. This blended rug is backed with sturdy latex for dependable longevity.</li><li> Viscose content area rugs perform their best in dry, stable environments. Prevent prolonged contact with moisture by blotting spills with a dry white cloth immediately upon noticing.</li></ul></p>
</div>",Bobby Berk by Karastan,Color,Barley,Size,9' x 12' Rectangular,"3,449.00","1,199.20","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00277/20042/146424/235153/ws_luna_barley_rg862107096120_silo.jpg",1.0,RG862,Barley,Contemporary / Modern,"57% Viscose, 32% Polyester, 11% Wool",Handwoven,"3⁄5"" (approx.)",No decorative fringe,Indoor Only,Bobby Berk,India,Not available,Not available,Recommended
