Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Shape (product.metafields.custom.shape)
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,2' x 3' Rectangular,198.46,109.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/0/214703/ws_hra06-75_room.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Herrera - HRA-06 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",,,,,,,,,,,,,,,
Herrera - HRA-06 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/0/214703/ws_hra06-75_1.jpg",,,,,,,,,,,,,,,
Herrera - HRA-06 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg",,,,,,,,,,,,,,,
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,"2'6"" x 12' Rectangular runner",998.46,551.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,3' x 5' Rectangular,613.85,339.15,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,"5'6"" x 8'6"" Rectangular","1,490.77",823.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,8' x 10' Rectangular,"2,536.92","1,401.65","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Herrera - HRA-06 Area Rug,"<div class=""product-overview-data"">
<p><p>Make your space stand out with an eye-catching time-worn aesthetic when you install this wool HRA-06 area rug from Kaleen's Herrera collection..</p><ul><li>The Herrera collection from Kaleen features hand-knotted area rugs made from wool with a neutral color palette and traditional designs. </li><li>Wool is an absorbent material, and your rug will last longer if you keep it in a zone that's protected from excess moisture. </li><li>Wool rugs shed when they're new because of the weaving process, and you can control it by vacuuming without a beater bar a few times per week.  </li><li>Follow the care tag instructions when cleaning messes or spills to reduce the risk of staining. </li></ul></p>
</div>",Kaleen,Color,Grey ,Size,9' x 12' Rectangular,"3,383.08","1,869.15","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75runner.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/17402/133688/214703/ws_hra06-75.jpg",1.0,HRA-06,Grey (75),Traditional / Oriental,100% Wool,Hand-Knotted,"1⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Not available,Not available,Recommended,
Helena - 3207 Area Rug,"<div class=""product-overview-data"">
<p><p>Add old-world charm to your home when you roll out this beautiful 3207 wool area rug from the Helena collection from Kaleen.</p><ul><li>Helena by Kaleen is a collection of durable wool rugs that feature 16th century-inspired designs and hand-dyed wool yarn. </li><li>Choose the color variant of this rug based on what would look best with your home's current color palette. </li><li>This 3/8-inch thick wool pile is dense and durable, and it is fixed to a sturdy cotton canvas backing for years of enjoyment.  </li><li>We recommend cleaning your rug regularly according to the care tag instructions and vacuuming without the beater bar to control loose wool fibers. </li></ul></p>
</div>",Kaleen,Color,"Graphite, Light Blue, Camel ",Size,2' x 3' Rectangular,106.15,58.65,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/14323/0/189477/ws_3207-68_room.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00081/14323/118125/189477/ws_3207-68a.jpg",1.0,3207,"Graphite, Light Blue, Camel (68)",Traditional / Oriental,100% Wool,Hand-Tufted,"3⁄8"" (approx.)",No decorative fringe,Indoor Only,India,Call  1-888-464-1447 to order,Not available,Recommended,
