Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad),Fill (product.metafields.custom.fill),Designer (product.metafields.custom.designer),Shape (product.metafields.custom.shape)
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Navy, Grey ",Size,"18"" x 18"" sample",65.00,42.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_4_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_06022022.jpg",1.0,Amena,"Navy, Grey (ZFA-09)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_3_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_2_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_1_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Navy, Grey ",Size,5' x 8' Rectangular,350.00,165.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_1_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_06022022.jpg",1.0,Amena,"Navy, Grey (ZFA-09)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Navy, Grey ",Size,"8' x 10'6"" Rectangular",730.00,329.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_1_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_06022022.jpg",1.0,Amena,"Navy, Grey (ZFA-09)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Navy, Grey ",Size,10' x 14' Rectangular,"1,400.00",645.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_1_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230810/ws_zfa09_06022022.jpg",1.0,Amena,"Navy, Grey (ZFA-09)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Gold, Grey ",Size,"18"" x 18"" sample",65.00,42.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_4_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_06022022.jpg",1.0,Amena,"Gold, Grey (ZFA-08)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_3_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_2_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_1_06022022.jpg",,,,,,,,,,,,,,,,,
Zefira - Amena Area Rug,"<div class=""product-overview-data"">
<p><p>An intricate, traditional design with subtle distressing grants our Vibe by Jaipur Living Zefira Amena rug timeless appeal. Of course, its polypropylene construction is as modern as it gets, providing a soft feel along with durability and ease of care.</p><ul><li>Simple to maintain and incredibly durable, our polypropylene Zefira collection is ideally suited for high-traffic settings. </li><li> A perfect backdrop for your dining room, guest bedroom, or entryway, this traditional beauty boasts Persian-inspired details and slight distressing for a heirloom-like look. </li><li> These synthetic indoor rugs are power-loomed into a high pile height for a mix of comfort and strength. </li><li> Remove spills or stains on rug yarns by using a sponge, cold water, and mild detergent.</li></ul></p>
</div>",Vibe by Jaipur Living,Color,"Gold, Grey ",Size,5' x 8' Rectangular,350.00,165.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_1_06022022.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19187/143433/230809/ws_zfa08_06022022.jpg",1.0,Amena,"Gold, Grey (ZFA-08)",Vintage / Overdyed,100% Polypropylene,Machine-Made,"3⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended,,,
