Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Designer (product.metafields.custom.designer),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"3'9"" x 5'9"" Rectangular",211.0,169.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_06.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Grey,Size,"5'3"" x 7'3"" Rectangular",380.0,304.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_05.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899.jpg",1.0,LNR-01,Grey,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236891/ws_099446879899_01.jpg",,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Light Blue,Size,"2'3"" x 8' Rectangular runner",183.0,146.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446880017_04.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",1.0,LNR-01,Light Blue,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236893/ws_099446879974.jpg",,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Ivory,Size,"3'9"" x 5'9"" Rectangular",211.0,169.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880079_04.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880055.jpg",1.0,LNR-01,Ivory,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880055.jpg",,,,,,,,,,,,,,,
Linear - LNR-01 Area Rug,"<div class=""product-overview-data"">
<p><p>Incorporate charm, texture, and versatility into any space with the lovely Linear LNR-01 Area Rug from Nourison's Calvin Klein Home line.</p><ul><li>This delightful area rug is hand-tufted in India by master artisans, giving it an expertly crafted and intricately detailed look.</li><li> Blending contemporary design with eye-catching detail, this abstract area rug balances dimension and modern flair. Choose between multiple color options to complement your space beautifully.</li><li> Featuring a cut and loop pile, this high-low texture area rug brings instant depth and dimension to your home. The wool and rayon rug also features a cotton backing for added durability.</li><li> This rug should be spot cleaned and vacuumed on low. Professional cleaning is recommended, and we advise against using a vacuum beater bar on this elegant rug.</li></ul></p>
</div>",Calvin Klein Home,Color,Ivory,Size,"5'3"" x 7'3"" Rectangular",380.0,304.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880031_04.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880055.jpg",1.0,LNR-01,Ivory,Contemporary / Modern,"63% Wool, 37% Rayon",Hand-Tufted,"1⁄2"" (approx.)",No decorative fringe,Indoor Only,Calvin Klein,India,Not available,Not available,Recommended
Linear - LNR-01 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00015/20535/147638/236892/ws_099446880055_06.jpg",,,,,,,,,,,,,,,
