Title,Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price
Legacy - Barton Area Rug,Amer Rugs,Color,Greyish Blue ,Size,2' x 3' Rectangular,259.99,154.99
Legacy - Barton Area Rug,Amer Rugs,Color,Greyish Blue ,Size,8' x 10' Rectangular,"3,314.99","2,004.99"
Legacy - Barton Area Rug,Amer Rugs,Color,Greyish Blue ,Size,9' x 12' Rectangular,"4,534.99","2,704.99"
Legacy - Barton Area Rug,Amer Rugs,Color,Greyish Blue ,Size,10' x 14' Rectangular,"5,869.99","3,504.99"
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,2' x 3' Rectangular,174.99,104.99
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,4' x 6' Rectangular,684.99,409.99
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,5' x 8' Rectangular,"1,129.99",679.99
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,8' x 10' Rectangular,"2,274.99","1,354.99"
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,9' x 12' Rectangular,"3,029.99","1,824.99"
Blend - Warwick Area Rug,Amer Rugs,Color,Grey ,Size,10' x 14' Rectangular,"3,939.99","2,364.99"
Berlin - Drayton Area Rug,Amer Rugs,Color,Ivory ,Size,2' x 3' Rectangular,74.99,44.99
Berlin - Drayton Area Rug,Amer Rugs,Color,Ivory ,Size,5' x 8' Rectangular,474.99,284.99
Berlin - Drayton Area Rug,Amer Rugs,Color,Ivory ,Size,8' x 10' Rectangular,944.99,564.99
Berlin - Drayton Area Rug,Amer Rugs,Color,Ivory ,Size,9' x 13' Rectangular,"1,374.99",819.99
Vista - Duncan Area Rug,Amer Rugs,Color,Grey ,Size,2' x 3' Rectangular,74.99,44.99
Vista - Duncan Area Rug,Amer Rugs,Color,Grey ,Size,5' x 8' Rectangular,469.99,279.99
Vista - Duncan Area Rug,Amer Rugs,Color,Grey ,Size,8' x 10' Rectangular,919.99,554.99
Vista - Duncan Area Rug,Amer Rugs,Color,Grey ,Size,9' x 13' Rectangular,"1,334.99",804.99
Prairie - Camil Area Rug,Amer Rugs,Color,"Blue, Rust ",Size,2' x 3' Rectangular,66.99,39.99
Prairie - Camil Area Rug,Amer Rugs,Color,"Blue, Rust ",Size,"3'6"" x 5'6"" Rectangular",216.99,129.99
Prairie - Camil Area Rug,Amer Rugs,Color,"Blue, Rust ",Size,"5' x 7'6"" Rectangular",409.99,244.99
Prairie - Camil Area Rug,Amer Rugs,Color,"Blue, Rust ",Size,8' x 10' Rectangular,869.99,524.99
Prairie - Shay Area Rug,Amer Rugs,Color,"Light Blue, Pink ",Size,"3'6"" x 5'6"" Rectangular",216.99,129.99
Prairie - Shay Area Rug,Amer Rugs,Color,"Light Blue, Pink ",Size,"5' x 7'6"" Rectangular",409.99,244.99
Prairie - Shay Area Rug,Amer Rugs,Color,"Light Blue, Pink ",Size,8' x 10' Rectangular,869.99,524.99
Boscage - Ilford Area Rug,Amer Rugs,Color,Slate Grey ,Size,2' x 3' Rectangular,90.99,54.99
Boscage - Ilford Area Rug,Amer Rugs,Color,Slate Grey ,Size,"5' x 7'6"" Rectangular",549.99,329.99
Boscage - Ilford Area Rug,Amer Rugs,Color,Slate Grey ,Size,"7'6"" x 9'6"" Rectangular","1,049.99",624.99
Boscage - Ilford Area Rug,Amer Rugs,Color,Slate Grey ,Size,8' x 11' Rectangular,"1,299.99",774.99
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,2' x 3' Rectangular,182.99,109.99
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,4' x 6' Rectangular,734.99,439.99
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,5' x 8' Rectangular,"1,214.99",729.99
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,8' x 10' Rectangular,"2,434.99","1,454.99"
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,9' x 12' Rectangular,"3,274.99","1,959.99"
Arizona - Cameron Area Rug,Amer Rugs,Color,Polo Blue ,Size,10' x 14' Rectangular,"4,199.99","2,539.99"
Raffia - Rafaele Area Rug,Amer Rugs,Color,Silver ,Size,2' x 3' Rectangular,223.99,134.99
Raffia - Rafaele Area Rug,Amer Rugs,Color,Silver ,Size,3' x 5' Rectangular,564.99,338.99
Raffia - Rafaele Area Rug,Amer Rugs,Color,Silver ,Size,5' x 8' Rectangular,"1,494.99",903.99
Raffia - Rafaele Area Rug,Amer Rugs,Color,Silver ,Size,8' x 10' Rectangular,"3,024.99","1,807.99"
Raffia - Rafaele Area Rug,Amer Rugs,Color,Silver ,Size,9' x 12' Rectangular,"4,034.99","2,439.99"
Abstract - Hammond Area Rug,Amer Rugs,Color,"Sky Blue, Grey, Cream ",Size,2' x 3' Rectangular,183.99,109.99
Abstract - Hammond Area Rug,Amer Rugs,Color,"Sky Blue, Grey, Cream ",Size,4' x 6' Rectangular,704.99,424.99
Abstract - Hammond Area Rug,Amer Rugs,Color,"Sky Blue, Grey, Cream ",Size,5' x 8' Rectangular,"1,174.99",704.99
Abstract - Hammond Area Rug,Amer Rugs,Color,"Sky Blue, Grey, Cream ",Size,8' x 10' Rectangular,"2,344.99","1,404.99"
Abstract - Hammond Area Rug,Amer Rugs,Color,"Sky Blue, Grey, Cream ",Size,9' x 13' Rectangular,"3,439.99","2,049.99"
Blend - BLN-15 Area Rug,Amer Rugs,Color,Charcoal,Size,2' x 3' Rectangular,174.99,104.99
