Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Designer (product.metafields.custom.designer),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Metlili - MTL-2 Area Rug,"<div class=""product-overview-data"">
<p><p>Celebrating the imperfections that are inherent in handwoven textiles, the Metlili collection abounds with character that is impossible to reproduce by other means. The charming MTL-2 area rug features a linear pattern that arches across each end, accented with a playful fringe to complete the look.</p><ul><li>Lemieux Et Cie emphasizes the creative process in every design. Each item in their catalog is handmade in small batches by skilled artisans using premium quality materials for heirloom-quality appeal.</li><li> Natural neutrals make this southwest area rug easy to coordinate with a wide variety of interior palettes. This piece is a fantastic fit for mid-century, bohemian, and contemporary interior themes. </li><li> Each area rug in the Metlili collection is handwoven by skilled artisans. MTL-2 is a 100% wool area rug crafted with a reversible flatwoven construction for twice the wear and enjoyment.</li><li> Shedding is to be expected but this will subside with regular vacuuming. Vacuum using a suction-only setting or hard surface attachment as needed.</li></ul></p>
</div>",Lemieux Et Cie,Color,Natural,Size,"2'3"" x 8' Rectangular runner",429.00,186.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",1.0,MTL-2,Natural,Bohemian,100% Wool,Handwoven,"1⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Christiane Lemieux,India,Not available,Not available,Recommended
Metlili - MTL-2 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",,,,,,,,,,,,,,,
Metlili - MTL-2 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_1.jpg",,,,,,,,,,,,,,,
Metlili - MTL-2 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_2.jpg",,,,,,,,,,,,,,,
Metlili - MTL-2 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_5.jpg",,,,,,,,,,,,,,,
Metlili - MTL-2 Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_4.jpg",,,,,,,,,,,,,,,
Metlili - MTL-2 Area Rug,"<div class=""product-overview-data"">
<p><p>Celebrating the imperfections that are inherent in handwoven textiles, the Metlili collection abounds with character that is impossible to reproduce by other means. The charming MTL-2 area rug features a linear pattern that arches across each end, accented with a playful fringe to complete the look.</p><ul><li>Lemieux Et Cie emphasizes the creative process in every design. Each item in their catalog is handmade in small batches by skilled artisans using premium quality materials for heirloom-quality appeal.</li><li> Natural neutrals make this southwest area rug easy to coordinate with a wide variety of interior palettes. This piece is a fantastic fit for mid-century, bohemian, and contemporary interior themes. </li><li> Each area rug in the Metlili collection is handwoven by skilled artisans. MTL-2 is a 100% wool area rug crafted with a reversible flatwoven construction for twice the wear and enjoyment.</li><li> Shedding is to be expected but this will subside with regular vacuuming. Vacuum using a suction-only setting or hard surface attachment as needed.</li></ul></p>
</div>",Lemieux Et Cie,Color,Natural,Size,"3'6"" x 5'6"" Rectangular",499.00,201.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_4.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",1.0,MTL-2,Natural,Bohemian,100% Wool,Handwoven,"1⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Christiane Lemieux,India,Not available,Not available,Recommended
Metlili - MTL-2 Area Rug,"<div class=""product-overview-data"">
<p><p>Celebrating the imperfections that are inherent in handwoven textiles, the Metlili collection abounds with character that is impossible to reproduce by other means. The charming MTL-2 area rug features a linear pattern that arches across each end, accented with a playful fringe to complete the look.</p><ul><li>Lemieux Et Cie emphasizes the creative process in every design. Each item in their catalog is handmade in small batches by skilled artisans using premium quality materials for heirloom-quality appeal.</li><li> Natural neutrals make this southwest area rug easy to coordinate with a wide variety of interior palettes. This piece is a fantastic fit for mid-century, bohemian, and contemporary interior themes. </li><li> Each area rug in the Metlili collection is handwoven by skilled artisans. MTL-2 is a 100% wool area rug crafted with a reversible flatwoven construction for twice the wear and enjoyment.</li><li> Shedding is to be expected but this will subside with regular vacuuming. Vacuum using a suction-only setting or hard surface attachment as needed.</li></ul></p>
</div>",Lemieux Et Cie,Color,Natural,Size,5' x 8' Rectangular,999.00,404.25,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_4.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",1.0,MTL-2,Natural,Bohemian,100% Wool,Handwoven,"1⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Christiane Lemieux,India,Not available,Not available,Recommended
Metlili - MTL-2 Area Rug,"<div class=""product-overview-data"">
<p><p>Celebrating the imperfections that are inherent in handwoven textiles, the Metlili collection abounds with character that is impossible to reproduce by other means. The charming MTL-2 area rug features a linear pattern that arches across each end, accented with a playful fringe to complete the look.</p><ul><li>Lemieux Et Cie emphasizes the creative process in every design. Each item in their catalog is handmade in small batches by skilled artisans using premium quality materials for heirloom-quality appeal.</li><li> Natural neutrals make this southwest area rug easy to coordinate with a wide variety of interior palettes. This piece is a fantastic fit for mid-century, bohemian, and contemporary interior themes. </li><li> Each area rug in the Metlili collection is handwoven by skilled artisans. MTL-2 is a 100% wool area rug crafted with a reversible flatwoven construction for twice the wear and enjoyment.</li><li> Shedding is to be expected but this will subside with regular vacuuming. Vacuum using a suction-only setting or hard surface attachment as needed.</li></ul></p>
</div>",Lemieux Et Cie,Color,Natural,Size,8' x 10' Rectangular,"1,569.00",801.75,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_4.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",1.0,MTL-2,Natural,Bohemian,100% Wool,Handwoven,"1⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Christiane Lemieux,India,Not available,Not available,Recommended
Metlili - MTL-2 Area Rug,"<div class=""product-overview-data"">
<p><p>Celebrating the imperfections that are inherent in handwoven textiles, the Metlili collection abounds with character that is impossible to reproduce by other means. The charming MTL-2 area rug features a linear pattern that arches across each end, accented with a playful fringe to complete the look.</p><ul><li>Lemieux Et Cie emphasizes the creative process in every design. Each item in their catalog is handmade in small batches by skilled artisans using premium quality materials for heirloom-quality appeal.</li><li> Natural neutrals make this southwest area rug easy to coordinate with a wide variety of interior palettes. This piece is a fantastic fit for mid-century, bohemian, and contemporary interior themes. </li><li> Each area rug in the Metlili collection is handwoven by skilled artisans. MTL-2 is a 100% wool area rug crafted with a reversible flatwoven construction for twice the wear and enjoyment.</li><li> Shedding is to be expected but this will subside with regular vacuuming. Vacuum using a suction-only setting or hard surface attachment as needed.</li></ul></p>
</div>",Lemieux Et Cie,Color,Natural,Size,9' x 12' Rectangular,"2,289.00","1,079.25","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_4.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00008/20441/147291/236409/ws_metlimtl-2nat_3.jpg",1.0,MTL-2,Natural,Bohemian,100% Wool,Handwoven,"1⁄8"" (approx.)",Includes decorative fringe,Indoor Only,Christiane Lemieux,India,Not available,Not available,Recommended
